review_id,source_tweet_id,customer_message,proposed_intent,proposed_escalation_decision,proposed_escalation_reason,human_intent,human_escalation_decision,human_escalation_reason,review_notes
rev_011,11974,@AmazonHelp My Halloween costume is a day late. Can you help?,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_012,15139,@AmazonHelp Nothing other than Pre-formatted responses.  Every order I’ve placed in the last 2 weeks has been delayed.,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_013,15442,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_014,16441,@AmazonHelp One of the items was supposed to be delivered yesterday but UPS is apparently yet to receive anything but a shipping label…,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_015,18899,@AmazonHelp Yes.. we got after 1 week from estimated date and still waiting for installation,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_016,19190,@AmazonHelp I’ve had one saying it will be late but no reason why,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_017,20750,@AmazonHelp haan MC woh toh dekh hi liya hai ek order mai delivery date se bas 5 din hi late aaya order Tm harami ke pille yaha kyun baithe ho jb kch1/2,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_018,20762,@AmazonHelp Arriving today. That's all it's said since this morning. My mum is waiting in as is still waiting. Just a rough time frame would be kind,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_019,21092,@AmazonHelp Order placed 30/10 with stated prime delivery of 31/10. At 7.30pm informed delayed allow further 2 days! Not 1st time prime has failed!!,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_020,24947,"@AmazonHelp Still waiting for your response, let me know how gonna help me in this issue?",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",,,,
rev_021,6958,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_022,11021,@AmazonHelp The carrier doesn't sell free 2 day shipping as part of a membership. Amazon does.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_023,11022,@AmazonHelp You're customer service reps were no help in resolving the issue. They just blamed the carrier.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_024,11081,"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_025,11605,"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_026,13183,"@AmazonHelp Yes, butvthey lied. Told me carrier and said they would contact and call me back. The never called. I hsdvto make 2 additional calls",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_027,14297,@AmazonHelp The carrier in both instances has been Amazon. Service has been awful once @115821 started doing the deliveries.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_028,15279,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_029,16433,"@119356 @AmazonHelp     horrible service, lousy customer care, non existent courier phone numbers. So much for becoming a Prime customer!",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_030,17652,@AmazonHelp Collect product at my home address will pay him courier charges. Hope u help your valuable customers.?,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_031,17653,@AmazonHelp Now I have suffer in self returning product and also not sure that courier charges will be given by Amazon or not. Please arrange person to,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_032,17899,@AmazonHelp I have called already and spoken to the rep. This keeps repeating. Fire your courier managers in my locality,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_033,17925,@AmazonHelp @115850 at my address. Will pay then return charges. But also want to tell u this is not right that we pay self return courier cost then what's,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_034,18157,"@AmazonHelp USPS is the carrier. They are usually here 10 am-12 pm, so I don't know what's going on.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_035,18731,@AmazonHelp The carrier is USPS.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_036,19117,@AmazonHelp i know but i call all courier serviece they people cant home pick up so please arrange from your hand.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_037,19125,@AmazonHelp I already call your linked courier service they all not ready for home pick up and some courier service cha rges is very high,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_038,19130,@AmazonHelp Its very headache so please pick up from your hand. I dont pick up any charges for courier so please arrange from u.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,,,,
rev_039,1730,@AmazonHelp I’ve cancelled my order and gone to Best Buy. Thank you.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_040,22478,@115821 @115850 @AmazonHelp delivery boy was too arrogant when I asked him to deliver my order next day he cancelled my order#annoyed,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_041,38134,@AmazonHelp I'll just cancel my order and go out and get it tomorrow. I'm not waiting a week for something I ordered over 6 months ago.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_042,42573,"Trying to cancel an order on @115821 but the website and app page come up blank when I hit ""cancel order"" @AmazonHelp",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_043,64208,"@AmazonHelp This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_044,65740,"@AmazonHelp Shared and I got reply too ,but it's like everyday story .me too will not cancel this time .let u People cancel my order",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_045,69665,"@AmazonHelp I'm waiting for them to answer my first email. I can ask whenever they do respond, but honestly I am running out of time. I also don't appreciate them waiting until delivery day to cancel my order, so I'm not too fond of them. Currently looking to purchase elsewhere.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_046,69772,@AmazonHelp you cancelled my order bc you thought someone else was on my account but i cant repurchase it bc it was a lightning deal,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_047,89203,"@AmazonHelp  - dear Amazon help - HELP! I'm dealing with Amazon for more than over a week now trying to cancel my order that has been partially paid with a giftcard and partially with a creditcard, but Amazon does not accept the creditcard payment 1/2",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_048,103028,"@AmazonHelp I already did that. It says one day and when I bought it with 1 day, it gave it 12/4. If I look at the item now, it says 2days gets it to me 12/2?! - I work in logistics. I understand shipping and this is frustrating. May cancel my order.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_049,103082,@AmazonHelp I tried to change my delivery address but have cancelled my order by mistake can I reinstate it??,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_050,109914,"@AmazonHelp I cannot understand why your staff would think that they are helping me by cancelling my order repeatedly and charging me for the delivery and order multiple times, and behaving like I should be thankful for being robbed! You have my TV, you could deliver it tomorrow but no.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_051,109929,@AmazonHelp Team may i know the reason. Y u guys were cancelled my order,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_052,109935,@AmazonHelp y u guys cancelled my order 407-0880525-1284313 without any intimation.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_053,114312,Why does amazon take my money but then cancel my order? @AmazonHelp,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,,,,
rev_054,664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_055,1699,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_056,2570,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_057,2572,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_058,5127,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_059,5281,@AmazonHelp I got a refund but I wanna check to see if it's actually lost,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_060,9766,@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_061,9810,@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_062,9821,@AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_063,15272,@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_064,15700,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_065,16757,@AmazonHelp No one knows what to do to get my refund back to me! https://t.co/q71Ycboikm,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_066,16760,@AmazonHelp No card on file after 30 days. Refund send back to merchant. That's you.,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_067,16771,"@AmazonHelp The prime driver Tues who only delivered 2 of 3 bags. Called, was told I'd get a refund on the items not delivered (wow) and $10 credit.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_068,16784,"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_069,16790,"@AmazonHelp Last mail rec'd on 09.10.2017 stating refund will be in my account by 14.10.2017
Bt same not rec'd.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_070,16792,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_071,16794,"@AmazonHelp form has been filled awaiting for a solution n refund. I have already invested my energy in explaining before, kindly treat it urgent.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_072,16805,@AmazonHelp Amazon its a complete fraud now u are saying u will ship till 7th please for god sake #help #cancelorder #refund #fraud #poorcustomerservice https://t.co/riuEM7g6om,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_073,16808,@AmazonHelp Do u hav brain the product is taking more then a week to reach me and i am #primememeber and can u read i need a #refund now i dnt #trust,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",,,,
rev_074,652,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_075,13189,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_076,30493,"@AmazonHelp No. But the amazon package tape was broken, and i could see visibly where someone taped it back with their own tape",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_077,33293,Hello @AmazonHelp Don't send a special edition game like this in just a cardboard sleeve. It clearly got crushed b/c bad packaging. https://t.co/zoEmj23Hh5,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_078,36545,"@AmazonHelp This isn't now about installation. 
It's now about faulty product",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_079,39576,"@AmazonHelp I did. It keeps happening to me. I mostly buy books, and my books end up looking like old books or they come damaged.",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_080,42558,"@amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_081,44523,@115850 @AmazonHelp my OD ID is 4__credit_card__ &amp; Tracking ID is 213112426556 It was a replacement of faulty product,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_082,46538,@AmazonHelp That I wanted to replace with a working item versus the defective item that was sadly sent to me to begin with.,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_083,56897,"@AmazonHelp The measure of a company, is how it responds when it gets it wrong. When @115830 cocks up, it rubs salt into any wounds it has opened.",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_084,56900,@AmazonHelp Just had even more damaged replacement TV delivered. You overpackage unbreakable items and add no packaging to TVs. Muppets. now 31 min wait,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_085,57468,"@AmazonHelp Another day, another bent vinyl from @115830. Do you have any quality control before sending out damaged products? https://t.co/ya9NAHI827",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_086,62302,@AmazonHelp DAMN IPHONE WITH THE BROKEN I,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_087,65687,"@AmazonHelp The CDs could not be exchanged so I had to reorder. Alas, some were add-on CDs that could not be ordered by themselves so I had to increase the cart value to $25 by buying more. Which I did. Two CDs arrived okay, another one broken. Returned that again to get in brkn.",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_088,65688,.@AmazonHelp I’m kinda done - I spent 1.5 hours in talks with four (!) different hotliners which ended up not being able to help until I bought more (!) to have my cart be above $25 so I could return three other broken CDs. Will return &amp; scout local stores instead. @115851,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_089,65698,"Alright, #Amazon. Ordered a CD. It came broken. Ordered a replacement. It came broken. Ordered a second replacement. Yes, it too came broken. It seems as if fluffy jiffy envelopes don't work as good as cardboard ones. Can't do no more exchanges, alas. Help, @AmazonHelp!",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_090,65723,"@AmazonHelp So your answer to me telling you your app is clearly broken (as every other app review is saying in the last month) is that it’s my fault? Stellar customer service today, amazon, you’re doing great.",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_091,65732,"@AmazonHelp @115851 100% assurance , 100% trust broken .hoped that Amazon will fulfill the promises but disappointed 100%",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",,,,
rev_092,96647,@AmazonHelp This doesn’t really help actually and from what I read I should not have been charged extra for my package,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_093,133880,"@AmazonHelp My order number 404-1835835-7830703. Placed on 3rd Sept, money deducted received a confrmtn msg with the delvry date of a week. Later got 2knw that your team doesn't see the money recd for the same. After providing all the evidences, till 2day havnt recd my money not the item.",payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_094,199637,@AmazonHelp It's been delivered now I have been charged twice &amp; have two of the items! I was told one was being cancelled all together &amp; it hasn't been,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_095,205940,@AmazonHelp and nothing on that page is a warning that clicking the gift card balance will change delivery dates without confirmation/warning.,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_096,238917,Hi @115850 the payment for a recent order did not go through earlier but now the money has been debited twice. Kindly help. @AmazonHelp,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_097,244928,"@AmazonHelp  added Rs.1962 to paybalance, money deducted twice, been more than one hour money still not added. Still showing message to wait https://t.co/r8o1e8CjyM",payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_098,298418,@116090 @AmazonHelp why is there no way to contact customer service? I was double charged for an item and I have no way of communicating that.,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_099,317899,@AmazonHelp I brought something on amazon on the 6th September and I have been charged twice since and been sent the same product twice,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_100,326369,@AmazonHelp Can I change the delivery address. Payment failed,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_101,356396,I am facing problem in debit card payment for my product. It's showing 'your payment failed' everytime.Assist me ASAP @115850 @AmazonHelp,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_102,361714,"Hi @AmazonHelp, I just bought a product, money deducted &amp; now email comes saying I have product limit, cannot buy. Help?",payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_103,417241,@AmazonHelp I spoke to a nice lady about the double charge. She said it was an automatic repayment set on my account. This lady took it off but . . .,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_104,445643,@AmazonHelp @115850 You have charged extra for 11 AM delivery . I had to gift it to someone . I am waiting for it . My order id is 408-7145886-3472365 .Stop doing fake promotions if you dont have stock . Please make sure it is delivered to me in next 2 hours,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_105,474232,"@AmazonHelp Ah damn, that sucks, was hoping to get a few things quickly today and thought of prime now, and my gift card balance, guess I'll have to brave the cold now! Any news about being able to in the future?",payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_106,475126,@AmazonHelp Yes but i have now recieved 2 dispatch emails for 2 items that were cancelled as i weny a re ordered them thinking they had cancelled it all iff now.am being charged twice and no one is helping ne,payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_107,486700,"@AmazonHelp Ordered it last Tuesday, admittedly on standard post but an email was saying an issue with payment which I tried to fix and just wanted to know if it was dispatched and didn’t want to be charged twice.",payment_and_billing_issue,ESCALATE,"Financial billing anomaly (duplicate charge, declined card with deduction) requiring sensitive customer account verification.",,,,
rev_108,1736,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_109,2579,"@AmazonHelp legacy ""shared prime benefits"" account trying to join an amazon household of the prim. account holder to share echo and set up voice profile",prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_110,5331,@AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_111,11607,"@AmazonHelp Once again the answer is ""We'll send again and your Prime membership means nothing and so does 2-day shipping."" This happens TOO OFTEN.",prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_112,13159,@AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_113,16762,@AmazonHelp Did I get a call? No. Being a Prime member means paying someone to treat you like shit. Twice!,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_114,17187,@AmazonHelp Kindly return my prime membership amount,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
rev_115,17209,@AmazonHelp After prime membership gaurantied delivery option has vanished now,prime_membership_inquiry,AUTO_HANDLE,"Informational inquiry regarding Prime benefits, Household sharing, or link to self-serve subscription settings.",,,,
