review_id,source_tweet_id,customer_message,proposed_intent,proposed_escalation_decision,proposed_escalation_reason,claude_intent,claude_escalation_decision,claude_reason,claude_agrees_with_proposal
rev_014,16441,@AmazonHelp One of the items was supposed to be delivered yesterday but UPS is apparently yet to receive anything but a shipping label…,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Item was supposed to arrive yesterday; UPS has only received a label — clear missed SLA.,YES
rev_015,18899,@AmazonHelp Yes.. we got after 1 week from estimated date and still waiting for installation,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Package arrived 1 week after estimated date and installation is still pending.,YES
rev_016,19190,@AmazonHelp I’ve had one saying it will be late but no reason why,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Customer received a 'will be late' notification with no reason — needs carrier update.,YES
rev_017,20750,@AmazonHelp haan MC woh toh dekh hi liya hai ek order mai delivery date se bas 5 din hi late aaya order Tm harami ke pille yaha kyun baithe ho jb kch1/2,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",other_or_unsupported,ESCALATE,Contains Hindi/Hinglish mixed with offensive language; primarily non-English/unactionable. Route to multilingual human team.,NO
rev_018,20762,@AmazonHelp Arriving today. That's all it's said since this morning. My mum is waiting in as is still waiting. Just a rough time frame would be kind,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",order_tracking_inquiry,AUTO_HANDLE,Customer asking for a rough time frame for today's delivery; no deadline explicitly missed yet — just asking for an ETA update on a same-day order.,NO
rev_019,21092,@AmazonHelp Order placed 30/10 with stated prime delivery of 31/10. At 7.30pm informed delayed allow further 2 days! Not 1st time prime has failed!!,delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",delivery_delay,ESCALATE,Prime delivery promised for 31/10 but informed at 7:30pm of a 2-day delay — explicit missed Prime SLA.,YES
rev_020,24947,"@AmazonHelp Still waiting for your response, let me know how gonna help me in this issue?",delivery_delay,ESCALATE,"Delivery delay requires checking carrier transit tracking, investigating missed SLA, or initiating carrier search.",other_or_unsupported,ESCALATE,Follow-up conversational fragment — 'Still waiting for your response' with no context about what issue. Unactionable without prior thread context.,NO
rev_021,6958,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,other_or_unsupported,ESCALATE,"Mid-thread conversational fragment — 'Will do in morning. By the way, I've complained about this 3 times...' — no specific actionable support request visible in this isolated tweet.",NO
rev_022,11021,@AmazonHelp The carrier doesn't sell free 2 day shipping as part of a membership. Amazon does.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,other_or_unsupported,ESCALATE,Argumentative statement about carrier responsibility — not a trackable support request. Conversational/rhetorical in nature.,NO
rev_023,11022,@AmazonHelp You're customer service reps were no help in resolving the issue. They just blamed the carrier.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,other_or_unsupported,ESCALATE,"Customer venting about unhelpful service reps blaming the carrier — conversational escalation complaint, not a structured support request.",NO
rev_024,11081,"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,order_tracking_inquiry,AUTO_HANDLE,Customer providing carrier info (AMZL US) and original delivery date — providing context for a tracking-related follow-up. Intent is tracking-related.,YES
rev_025,11605,"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,order_tracking_inquiry,AUTO_HANDLE,Customer sharing carrier and tracking number — context for tracking inquiry.,YES
rev_026,13183,"@AmazonHelp Yes, butvthey lied. Told me carrier and said they would contact and call me back. The never called. I hsdvto make 2 additional calls",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,other_or_unsupported,ESCALATE,Mid-thread frustration about carrier contact failure — no new actionable request identifiable from isolated message.,NO
rev_027,14297,@AmazonHelp The carrier in both instances has been Amazon. Service has been awful once @115821 started doing the deliveries.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,driver_and_packaging_feedback,AUTO_HANDLE,"Customer providing negative feedback about Amazon's own logistics carrier (AMZL) service quality — complaint about carrier service quality, not a specific missing package.",NO
rev_028,15279,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,refund_inquiry,ESCALATE,Customer reports replacement ordered on 24th Oct with no contact — this is a replacement/fulfillment follow-up with a specific order number. Escalation needed to check replacement order status.,NO
rev_029,16433,"@119356 @AmazonHelp     horrible service, lousy customer care, non existent courier phone numbers. So much for becoming a Prime customer!",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,other_or_unsupported,ESCALATE,General frustration vent about service quality — no specific actionable request. Other user also tagged.,NO
rev_030,17652,@AmazonHelp Collect product at my home address will pay him courier charges. Hope u help your valuable customers.?,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,damaged_or_wrong_item,ESCALATE,Customer wants Amazon to collect the product from their home and is concerned about courier charges — likely a return pickup request for a damaged/unwanted item requiring agent coordination.,NO
rev_031,17653,@AmazonHelp Now I have suffer in self returning product and also not sure that courier charges will be given by Amazon or not. Please arrange person to,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,refund_inquiry,ESCALATE,Customer complaining about having to self-return a product and uncertainty about getting courier charges reimbursed — refund-related return cost inquiry.,NO
rev_032,17899,@AmazonHelp I have called already and spoken to the rep. This keeps repeating. Fire your courier managers in my locality,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,driver_and_packaging_feedback,AUTO_HANDLE,Customer requesting Amazon to 'fire courier managers' due to repeated delivery issues — feedback about courier service management quality.,NO
rev_033,17925,@AmazonHelp @115850 at my address. Will pay then return charges. But also want to tell u this is not right that we pay self return courier cost then what's,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,refund_inquiry,ESCALATE,Customer expressing frustration about having to pay courier return charges — return cost refund inquiry.,NO
rev_034,18157,"@AmazonHelp USPS is the carrier. They are usually here 10 am-12 pm, so I don't know what's going on.",order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,delivery_delay,ESCALATE,USPS delivery is running significantly later than usual window (past 10am-12pm) — customer concerned about missed delivery window.,NO
rev_035,18731,@AmazonHelp The carrier is USPS.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,order_tracking_inquiry,AUTO_HANDLE,Customer simply confirming carrier as USPS in response to tracking inquiry — tracking context message.,YES
rev_036,19117,@AmazonHelp i know but i call all courier serviece they people cant home pick up so please arrange from your hand.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,damaged_or_wrong_item,ESCALATE,"Customer says all courier services cannot do home pickup — this is a return/pickup coordination request for a product needing return, requiring agent arrangement.",NO
rev_037,19125,@AmazonHelp I already call your linked courier service they all not ready for home pick up and some courier service cha rges is very high,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,damaged_or_wrong_item,ESCALATE,Customer reporting that courier services are either unavailable or too expensive for return pickup — return logistics complaint requiring agent intervention.,NO
rev_038,19130,@AmazonHelp Its very headache so please pick up from your hand. I dont pick up any charges for courier so please arrange from u.,order_tracking_inquiry,AUTO_HANDLE,Standard tracking inquiries can be safely resolved by providing self-serve tracking link or dispatch details without mutating account state.,damaged_or_wrong_item,ESCALATE,Customer asking Amazon to arrange home pickup for a return at no charge — return coordination request.,NO
rev_039,1730,@AmazonHelp I’ve cancelled my order and gone to Best Buy. Thank you.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Customer confirms they cancelled order and went to competitor — order cancellation confirmed.,YES
rev_040,22478,@115821 @115850 @AmazonHelp delivery boy was too arrogant when I asked him to deliver my order next day he cancelled my order#annoyed,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Customer reports delivery boy cancelled order without authorization — unauthorized cancellation by driver requiring investigation.,YES
rev_041,38134,@AmazonHelp I'll just cancel my order and go out and get it tomorrow. I'm not waiting a week for something I ordered over 6 months ago.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Customer intends to cancel due to delay; 'not waiting a week' — active cancellation intent.,YES
rev_042,42573,"Trying to cancel an order on @115821 but the website and app page come up blank when I hit ""cancel order"" @AmazonHelp",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Cancellation page returning blank — technical block on order cancellation requiring agent assistance.,YES
rev_043,64208,"@AmazonHelp This is ridiculous, I’ve literally just shown what the tracking is showing and your asking again, can you not look through the thread of tweets? Something needs to be done ASAP otherwise I’ll just cancel my order",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,delivery_delay,ESCALATE,"While cancellation is mentioned as a threat, the PRIMARY complaint is about tracking pages and demanding ASAP resolution of a delayed/stuck order. The core issue is delivery problem, not a cancellation request.",NO
rev_044,65740,"@AmazonHelp Shared and I got reply too ,but it's like everyday story .me too will not cancel this time .let u People cancel my order",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,other_or_unsupported,ESCALATE,"Confusing and contradictory statement — 'me too will not cancel this time. let u People cancel my order.' — unclear intent, mid-thread conversational fragment.",NO
rev_045,69665,"@AmazonHelp I'm waiting for them to answer my first email. I can ask whenever they do respond, but honestly I am running out of time. I also don't appreciate them waiting until delivery day to cancel my order, so I'm not too fond of them. Currently looking to purchase elsewhere.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Order was cancelled by Amazon on delivery day without warning — unauthorized cancellation complaint with account action needed.,YES
rev_046,69772,@AmazonHelp you cancelled my order bc you thought someone else was on my account but i cant repurchase it bc it was a lightning deal,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Amazon cancelled order due to security suspicion; customer cannot repurchase at Lightning deal price — wrongful cancellation with pricing consequence.,YES
rev_047,89203,"@AmazonHelp  - dear Amazon help - HELP! I'm dealing with Amazon for more than over a week now trying to cancel my order that has been partially paid with a giftcard and partially with a creditcard, but Amazon does not accept the creditcard payment 1/2",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Week-long attempt to cancel order with payment complexity (gift card + credit card) — complex cancellation requiring agent resolution.,YES
rev_048,103028,"@AmazonHelp I already did that. It says one day and when I bought it with 1 day, it gave it 12/4. If I look at the item now, it says 2days gets it to me 12/2?! - I work in logistics. I understand shipping and this is frustrating. May cancel my order.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,delivery_delay,ESCALATE,"Primary issue is confusion about delivery dates and potentially misleading shipping speed display — frustration about date discrepancy, with cancellation only mentioned as a possibility.",NO
rev_049,103082,@AmazonHelp I tried to change my delivery address but have cancelled my order by mistake can I reinstate it??,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Customer accidentally cancelled order while trying to change address — wants to reinstate it.,YES
rev_050,109914,"@AmazonHelp I cannot understand why your staff would think that they are helping me by cancelling my order repeatedly and charging me for the delivery and order multiple times, and behaving like I should be thankful for being robbed! You have my TV, you could deliver it tomorrow but no.",order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Staff repeatedly cancelling and recharging order — severe service failure involving unauthorized repeated cancellation and charges.,YES
rev_051,109929,@AmazonHelp Team may i know the reason. Y u guys were cancelled my order,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Asking for reason why order was cancelled — seeks explanation for an unexpected cancellation.,YES
rev_052,109935,@AmazonHelp y u guys cancelled my order 407-0880525-1284313 without any intimation.,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,order_cancellation,ESCALATE,Order cancelled without intimation — specific order ID provided; unexpected cancellation inquiry.,YES
rev_053,114312,Why does amazon take my money but then cancel my order? @AmazonHelp,order_cancellation,ESCALATE,Order cancellation mutates order fulfillment lifecycle and requires verifying dispatch stage with warehouse/carrier.,payment_and_billing_issue,ESCALATE,"Amazon taking money then cancelling the order is a financial anomaly — money deducted but no order fulfilled. This is a payment/billing issue (charged but no goods), not simply a cancellation request.",NO
rev_054,664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",delivery_delay,ESCALATE,"Primary complaint is that a paid delivery DID NOT ARRIVE today — 'where is it'. While refund of delivery charge is also mentioned, the primary actionable request is to locate the missing delivery. Classify as delivery_delay.",NO
rev_055,1699,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",payment_and_billing_issue,ESCALATE,"Customer was promised Prime wouldn't renew but was charged anyway — this is an unauthorized charge on card (Prime renewal without consent), making it a payment/billing dispute rather than a general refund inquiry.",NO
rev_056,2570,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer reports that Amazon UK is not processing a refund they should be receiving.,YES
rev_057,2572,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer has emailed multiple times and billing section says no refund has been issued.,YES
rev_058,5127,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Order never shipped; customer demands refund to take business elsewhere.,YES
rev_059,5281,@AmazonHelp I got a refund but I wanna check to see if it's actually lost,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",other_or_unsupported,ESCALATE,Confusing statement — got a refund but wants to 'check if it's actually lost.' Mid-thread follow-up fragment — unclear primary intent without context.,NO
rev_060,9766,@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer says reps promise refund but nothing happens — refund not being processed.,YES
rev_061,9810,@AmazonHelp Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. https://t.co/G1a6por32Z,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer wants refund for price difference on a wrong-size item; UPS didn't show for return pickup.,YES
rev_062,9821,@AmazonHelp so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Paid extra for overnight shipping but package delayed 2-4 more days — demands full refund for shipping charge failure.,YES
rev_063,15272,@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer demanding at-minimum a timely refund for an ongoing unresolved issue.,YES
rev_064,15700,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Customer asking for update on their refund.,YES
rev_065,16757,@AmazonHelp No one knows what to do to get my refund back to me! https://t.co/q71Ycboikm,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,No one in customer service knows how to process the refund — refund blocked.,YES
rev_066,16760,@AmazonHelp No card on file after 30 days. Refund send back to merchant. That's you.,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Refund sent back to merchant because no card on file after 30 days — refund routing issue.,YES
rev_067,16771,"@AmazonHelp The prime driver Tues who only delivered 2 of 3 bags. Called, was told I'd get a refund on the items not delivered (wow) and $10 credit.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Prime driver delivered only 2 of 3 bags; customer told they'd receive refund + $10 credit — checking refund status.,YES
rev_068,16784,"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Seller not answering; refund policy in Amazon India is problematic — refund progress blocked.,YES
rev_069,16790,"@AmazonHelp Last mail rec'd on 09.10.2017 stating refund will be in my account by 14.10.2017
Bt same not rec'd.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Refund was promised by 14 Oct but not received — overdue refund.,YES
rev_070,16792,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Getting apologies but no refund — refund stuck.,YES
rev_071,16794,"@AmazonHelp form has been filled awaiting for a solution n refund. I have already invested my energy in explaining before, kindly treat it urgent.",refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,"Form filled, awaiting refund solution — requests urgent treatment.",YES
rev_072,16805,@AmazonHelp Amazon its a complete fraud now u are saying u will ship till 7th please for god sake #help #cancelorder #refund #fraud #poorcustomerservice https://t.co/riuEM7g6om,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",order_cancellation,ESCALATE,"Primary demand is cancellation (#cancelorder hashtag, 'please for god sake') with refund as secondary. Core intent is to stop/cancel the delayed order.",NO
rev_073,16808,@AmazonHelp Do u hav brain the product is taking more then a week to reach me and i am #primememeber and can u read i need a #refund now i dnt #trust,refund_inquiry,ESCALATE,"Financial transaction inquiry requiring access to bank payment ledger, return receipt verification, and refund authorization.",refund_inquiry,ESCALATE,Explicit #refund hashtag and demand — customer demands refund now for delayed Prime delivery.,YES
rev_074,652,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Packages lost/stolen/broken every time with AMZL — asking to block that carrier. Core issue is repeated damaged/lost deliveries.,YES
rev_075,13189,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Broken item purchased via app — requesting replacement.,YES
rev_076,30493,"@AmazonHelp No. But the amazon package tape was broken, and i could see visibly where someone taped it back with their own tape",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Package tape was broken and re-taped with different tape — evidence of tampering/opened package.,YES
rev_077,33293,Hello @AmazonHelp Don't send a special edition game like this in just a cardboard sleeve. It clearly got crushed b/c bad packaging. https://t.co/zoEmj23Hh5,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Special edition game crushed due to insufficient packaging — product damaged.,YES
rev_078,36545,"@AmazonHelp This isn't now about installation. 
It's now about faulty product",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Issue escalated from installation to faulty product — defective item confirmed.,YES
rev_079,39576,"@AmazonHelp I did. It keeps happening to me. I mostly buy books, and my books end up looking like old books or they come damaged.",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Books consistently arriving damaged — ongoing damaged goods issue.,YES
rev_080,42558,"@amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution",damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Package damaged and no solution found — customer frustrated with damaged delivery.,YES
rev_081,44523,@115850 @AmazonHelp my OD ID is 4__credit_card__ &amp; Tracking ID is 213112426556 It was a replacement of faulty product,damaged_or_wrong_item,ESCALATE,"Requires inspecting damaged goods evidence, initiating return label generation, or approving replacement/refund.",damaged_or_wrong_item,ESCALATE,Replacement for faulty product with specific order and tracking IDs.,YES
